post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:giftcard-category,meta:care_code,meta:hubwoo_ecomm_invalid_pro,meta:hubwoo_ecomm_pro_id,meta:mc4wp_updated_at,meta:selected_images_categories,meta:total_sales,meta:attribute_pa_colour,meta:attribute_pa_seats,meta:attribute_pa_size,meta:attribute_pa_upholstery,meta:attribute_sizes,attribute:brands,attribute_data:brands,attribute_default:brands,attribute:pa_abrasion-test,attribute_data:pa_abrasion-test,attribute_default:pa_abrasion-test,attribute:pa_availability,attribute_data:pa_availability,attribute_default:pa_availability,attribute:pa_back,attribute_data:pa_back,attribute_default:pa_back,attribute:pa_base,attribute_data:pa_base,attribute_default:pa_base,attribute:pa_bed-size,attribute_data:pa_bed-size,attribute_default:pa_bed-size,attribute:pa_body,attribute_data:pa_body,attribute_default:pa_body,attribute:pa_brand-name,attribute_data:pa_brand-name,attribute_default:pa_brand-name,attribute:pa_brands,attribute_data:pa_brands,attribute_default:pa_brands,attribute:pa_clasps,attribute_data:pa_clasps,attribute_default:pa_clasps,attribute:pa_collection,attribute_data:pa_collection,attribute_default:pa_collection,attribute:pa_colour,attribute_data:pa_colour,attribute_default:pa_colour,attribute:pa_composition,attribute_data:pa_composition,attribute_default:pa_composition,attribute:pa_current-deal,attribute_data:pa_current-deal,attribute_default:pa_current-deal,attribute:pa_delivery,attribute_data:pa_delivery,attribute_default:pa_delivery,attribute:pa_design,attribute_data:pa_design,attribute_default:pa_design,attribute:pa_design-name,attribute_data:pa_design-name,attribute_default:pa_design-name,attribute:pa_design-style,attribute_data:pa_design-style,attribute_default:pa_design-style,attribute:pa_detailing,attribute_data:pa_detailing,attribute_default:pa_detailing,attribute:pa_end-use,attribute_data:pa_end-use,attribute_default:pa_end-use,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_feet,attribute_data:pa_feet,attribute_default:pa_feet,attribute:pa_fill,attribute_data:pa_fill,attribute_default:pa_fill,attribute:pa_frame,attribute_data:pa_frame,attribute_default:pa_frame,attribute:pa_frame-and-legs,attribute_data:pa_frame-and-legs,attribute_default:pa_frame-and-legs,attribute:pa_handles,attribute_data:pa_handles,attribute_default:pa_handles,attribute:pa_horizontal-pattern-repeat,attribute_data:pa_horizontal-pattern-repeat,attribute_default:pa_horizontal-pattern-repeat,attribute:pa_inslay,attribute_data:pa_inslay,attribute_default:pa_inslay,attribute:pa_leather,attribute_data:pa_leather,attribute_default:pa_leather,attribute:pa_legs,attribute_data:pa_legs,attribute_default:pa_legs,attribute:pa_legs-colour,attribute_data:pa_legs-colour,attribute_default:pa_legs-colour,attribute:pa_match,attribute_data:pa_match,attribute_default:pa_match,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_origin,attribute_data:pa_origin,attribute_default:pa_origin,attribute:pa_pattern,attribute_data:pa_pattern,attribute_default:pa_pattern,attribute:pa_pattern-repeat,attribute_data:pa_pattern-repeat,attribute_default:pa_pattern-repeat,attribute:pa_roll-length,attribute_data:pa_roll-length,attribute_default:pa_roll-length,attribute:pa_rub-test,attribute_data:pa_rub-test,attribute_default:pa_rub-test,attribute:pa_seat-and-back,attribute_data:pa_seat-and-back,attribute_default:pa_seat-and-back,attribute:pa_seats,attribute_data:pa_seats,attribute_default:pa_seats,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sold-by,attribute_data:pa_sold-by,attribute_default:pa_sold-by,attribute:pa_table-materials,attribute_data:pa_table-materials,attribute_default:pa_table-materials,attribute:pa_tabletop,attribute_data:pa_tabletop,attribute_default:pa_tabletop,attribute:pa_top,attribute_data:pa_top,attribute_default:pa_top,attribute:pa_upholstery,attribute_data:pa_upholstery,attribute_default:pa_upholstery,attribute:pa_upholstry,attribute_data:pa_upholstry,attribute_default:pa_upholstry,attribute:pa_vertical-pattern-repeat,attribute_data:pa_vertical-pattern-repeat,attribute_default:pa_vertical-pattern-repeat,attribute:pa_wide-width,attribute_data:pa_wide-width,attribute_default:pa_wide-width,attribute:pa_width,attribute_data:pa_width,attribute_default:pa_width,attribute:pa_wood,attribute_data:pa_wood,attribute_default:pa_wood,attribute:sizes,attribute_data:sizes,attribute_default:sizes
Christian Lacroix Fabric Cueillette,christian-lacroix-fabric-cueillette,,999534984,FCL7037-01-P,,Fabric > Curtains,,,,,yes,,2022-03-18T06:32:51+00:00,,0,,,,,,,,,,,,Delivery 3 weeks after ordering. Order now,15|1|0,,,,,,,,,,,,,,,,,Christian Lacroix Fabric,1|1|0,,,,,Paradis Barbares,2|1|0,,Bourgeon|Printemps,4|1|1,Bourgeon,100% Cotton,7|1|0,,,,,Free,16|1|0,,,,,Cueillette,3|1|0,,Modern Contemporary,5|1|0,,,,,"Blinds &amp; Accessories, Drapery, Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,68.5Cm,9|1|0,,,,,,,,,,,,,,Straight March,13|1|0,,,,,,,,"Designed By The House Of Christian Lacroix In Paris, Shipped From The Uk",14|1|0,,Animals / Nature / Insects,6|1|0,,,,,,,,25000 Martindale,12|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68Cm,8|1|0,,,,,139Cm,10|1|0,,,,,,,
Christian Lacroix Fabric Cueillette - Bourgeon,variation-999535536-of-christian-lacroix-fabric-cueillette,999534984,999535536,FCL7037-01,FCL7037-01-P,,,Free Shipping,,,,1416848284,,,0,Bourgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Lacroix Fabric Cueillette - Printemps,variation-999535538-of-christian-lacroix-fabric-cueillette,999534984,999535538,FCL7037-02,FCL7037-01-P,,,Free Shipping,,,,1416854354,,,0,Printemps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Lacroix Fabric Le Pas Des Anges,christian-lacroix-fabric-le-pas-des-anges,,999534986,FCL7039-01-P,,Fabric > Curtains,,,,,yes,,2022-03-18T06:32:52+00:00,,0,,,,,,,,,,,,Delivery 3 weeks after ordering. Order now,15|1|0,,,,,,,,,,,,,,,,,Christian Lacroix Fabric,1|1|0,,,,,Paradis Barbares,2|1|0,,Bleu Nigelle|Bourgeon|Etoupe|Oeillet|Printemps,4|1|1,Oeillet,56% Viscose 24% Linen 20% Polyester,7|1|0,,,,,Free,16|1|0,,,,,Le Pas Des Anges,3|1|0,,Modern Contemporary,5|1|0,,,,,"Blinds &amp; Accessories, Drapery, Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,35Cm,9|1|0,,,,,,,,,,,,,,Straight March,13|1|0,,,,,,,,"Designed By The House Of Christian Lacroix In Paris, Shipped From The Uk",14|1|0,,Damask,6|1|0,,,,,,,,30000 Martindale,12|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5Cm,8|1|0,,,,,138Cm,10|1|0,,,,,,,
Christian Lacroix Fabric Le Pas Des Anges - Oeillet,variation-999535540-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535541,FCL7039-01,FCL7039-01-P,,,Free Shipping,,,,1416849520,,,0,Oeillet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Lacroix Fabric Le Pas Des Anges - Bleu Nigelle,variation-999535542-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535543,FCL7039-02,FCL7039-01-P,,,Free Shipping,,,,1416848283,,,0,Bleu Nigelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Lacroix Fabric Le Pas Des Anges - Etoupe,variation-999535544-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535545,FCL7039-03,FCL7039-01-P,,,Free Shipping,,,,1416847756,,,0,Etoupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Lacroix Fabric Le Pas Des Anges - Bourgeon,variation-999535546-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535547,FCL7039-04,FCL7039-01-P,,,Free Shipping,,,,1416857447,,,0,Bourgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Lacroix Fabric Le Pas Des Anges - Printemps,variation-999535548-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535549,FCL7039-05,FCL7039-01-P,,,Free Shipping,,,,1416860300,,,0,Printemps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Lacroix Fabric L Aveu,christian-lacroix-fabric-l-aveu,,999534988,FCL7040-01-P,,Fabric > Curtains,,,,,yes,,2022-03-18T06:32:52+00:00,,0,,,,,,,,,,,,Delivery 3 weeks after ordering. Order now,15|1|0,,,,,,,,,,,,,,,,,Christian Lacroix Fabric,1|1|0,,,,,Paradis Barbares,2|1|0,,Bourgeon|Printemps,4|1|1,Bourgeon,72% Viscose 20% Nylon 8% Polyester,7|1|0,,,,,Free,16|1|0,,,,,L Aveu,3|1|0,,Modern Contemporary,5|1|0,,,,,"Blinds &amp; Accessories, Drapery, Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,35.5Cm,9|1|0,,,,,,,,,,,,,,Straight March,13|1|0,,,,,,,,"Designed By The House Of Christian Lacroix In Paris, Shipped From The Uk",14|1|0,,Geometric,6|1|0,,,,,,,,20000 Martindale,12|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88Cm,8|1|0,,,,,142Cm,10|1|0,,,,,,,
