post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:giftcard-category,meta:care_code,meta:hubwoo_ecomm_invalid_pro,meta:hubwoo_ecomm_pro_id,meta:mc4wp_updated_at,meta:selected_images_categories,meta:total_sales,meta:attribute_pa_colour,meta:attribute_pa_seats,meta:attribute_pa_size,meta:attribute_pa_upholstery,meta:attribute_sizes,attribute:brands,attribute_data:brands,attribute_default:brands,attribute:pa_abrasion-test,attribute_data:pa_abrasion-test,attribute_default:pa_abrasion-test,attribute:pa_availability,attribute_data:pa_availability,attribute_default:pa_availability,attribute:pa_back,attribute_data:pa_back,attribute_default:pa_back,attribute:pa_base,attribute_data:pa_base,attribute_default:pa_base,attribute:pa_bed-size,attribute_data:pa_bed-size,attribute_default:pa_bed-size,attribute:pa_body,attribute_data:pa_body,attribute_default:pa_body,attribute:pa_brand-name,attribute_data:pa_brand-name,attribute_default:pa_brand-name,attribute:pa_brands,attribute_data:pa_brands,attribute_default:pa_brands,attribute:pa_clasps,attribute_data:pa_clasps,attribute_default:pa_clasps,attribute:pa_collection,attribute_data:pa_collection,attribute_default:pa_collection,attribute:pa_colour,attribute_data:pa_colour,attribute_default:pa_colour,attribute:pa_composition,attribute_data:pa_composition,attribute_default:pa_composition,attribute:pa_current-deal,attribute_data:pa_current-deal,attribute_default:pa_current-deal,attribute:pa_delivery,attribute_data:pa_delivery,attribute_default:pa_delivery,attribute:pa_design,attribute_data:pa_design,attribute_default:pa_design,attribute:pa_design-name,attribute_data:pa_design-name,attribute_default:pa_design-name,attribute:pa_design-style,attribute_data:pa_design-style,attribute_default:pa_design-style,attribute:pa_detailing,attribute_data:pa_detailing,attribute_default:pa_detailing,attribute:pa_end-use,attribute_data:pa_end-use,attribute_default:pa_end-use,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_feet,attribute_data:pa_feet,attribute_default:pa_feet,attribute:pa_fill,attribute_data:pa_fill,attribute_default:pa_fill,attribute:pa_frame,attribute_data:pa_frame,attribute_default:pa_frame,attribute:pa_frame-and-legs,attribute_data:pa_frame-and-legs,attribute_default:pa_frame-and-legs,attribute:pa_handles,attribute_data:pa_handles,attribute_default:pa_handles,attribute:pa_horizontal-pattern-repeat,attribute_data:pa_horizontal-pattern-repeat,attribute_default:pa_horizontal-pattern-repeat,attribute:pa_inslay,attribute_data:pa_inslay,attribute_default:pa_inslay,attribute:pa_leather,attribute_data:pa_leather,attribute_default:pa_leather,attribute:pa_legs,attribute_data:pa_legs,attribute_default:pa_legs,attribute:pa_legs-colour,attribute_data:pa_legs-colour,attribute_default:pa_legs-colour,attribute:pa_match,attribute_data:pa_match,attribute_default:pa_match,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_origin,attribute_data:pa_origin,attribute_default:pa_origin,attribute:pa_pattern,attribute_data:pa_pattern,attribute_default:pa_pattern,attribute:pa_pattern-repeat,attribute_data:pa_pattern-repeat,attribute_default:pa_pattern-repeat,attribute:pa_roll-length,attribute_data:pa_roll-length,attribute_default:pa_roll-length,attribute:pa_rub-test,attribute_data:pa_rub-test,attribute_default:pa_rub-test,attribute:pa_seat-and-back,attribute_data:pa_seat-and-back,attribute_default:pa_seat-and-back,attribute:pa_seats,attribute_data:pa_seats,attribute_default:pa_seats,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sold-by,attribute_data:pa_sold-by,attribute_default:pa_sold-by,attribute:pa_table-materials,attribute_data:pa_table-materials,attribute_default:pa_table-materials,attribute:pa_tabletop,attribute_data:pa_tabletop,attribute_default:pa_tabletop,attribute:pa_top,attribute_data:pa_top,attribute_default:pa_top,attribute:pa_upholstery,attribute_data:pa_upholstery,attribute_default:pa_upholstery,attribute:pa_upholstry,attribute_data:pa_upholstry,attribute_default:pa_upholstry,attribute:pa_vertical-pattern-repeat,attribute_data:pa_vertical-pattern-repeat,attribute_default:pa_vertical-pattern-repeat,attribute:pa_wide-width,attribute_data:pa_wide-width,attribute_default:pa_wide-width,attribute:pa_width,attribute_data:pa_width,attribute_default:pa_width,attribute:pa_wood,attribute_data:pa_wood,attribute_default:pa_wood,attribute:sizes,attribute_data:sizes,attribute_default:sizes
Designers Guild Fabric Delray Outdoor - Aqua,variation-999536008-of-designers-guild-fabric-delray-outdoor,999535081,999536009,FDG2868-01,FDG2868-01-P,,,Free Shipping,,,,1416849507,,,0,Aqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Delray Outdoor - Acacia,variation-999536013-of-designers-guild-fabric-delray-outdoor,999535081,999536013,FDG2868-02,FDG2868-01-P,,,Free Shipping,,,,1416847116,,,0,Acacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Delray Outdoor - Natural,variation-999536018-of-designers-guild-fabric-delray-outdoor,999535081,999536018,FDG2868-03,FDG2868-01-P,,,Free Shipping,,,,1416852745,,,0,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Delray Outdoor - Graphite,variation-999536023-of-designers-guild-fabric-delray-outdoor,999535081,999536023,FDG2868-04,FDG2868-01-P,,,Free Shipping,,,,1416851600,,,0,Graphite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Boynton Outdoor,designers-guild-fabric-boynton-outdoor,,999535086,FDG2869-01-P,,Fabric > Outdoor,,,,,yes,,2022-03-18T06:34:57+00:00,,0,,,,,,,,,,,,Delivery 3 weeks after ordering. Order now,16|1|0,,,,,,,,,,,,,,,,,Designers Guild Fabric,1|1|0,,,,,Palme Botanique,2|1|0,,Aqua|Ecru|Natural|Noir,4|1|1,Natural,100% Polypropylene,7|1|0,,,,,Free,17|1|0,,,,,Boynton Outdoor,3|1|0,,Modern Contemporary,5|1|0,,,,,"Blinds, Drapery, Outdoor &amp; Accessories (Cushions &amp; Loose Covers), Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Random Match,13|1|0,,,,,,,,United Kingdom,14|1|0,,Texture,6|1|0,,,,,,,,25000 Martindale,12|1|0,,,,,,,,,,,Metre,15|1|0,,,,,,,,,,,,,,,,,,,,,,,139Cm,10|1|0,,,,,,,
Designers Guild Fabric Boynton Outdoor - Natural,variation-999536028-of-designers-guild-fabric-boynton-outdoor,999535086,999536029,FDG2869-01,FDG2869-01-P,,,Free Shipping,,,,1416852076,,,0,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Boynton Outdoor - Ecru,variation-999536033-of-designers-guild-fabric-boynton-outdoor,999535086,999536033,FDG2869-02,FDG2869-01-P,,,Free Shipping,,,,1416850099,,,0,Ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Boynton Outdoor - Noir,variation-999536038-of-designers-guild-fabric-boynton-outdoor,999535086,999536038,FDG2869-03,FDG2869-01-P,,,Free Shipping,,,,1416857431,,,0,Noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Boynton Outdoor - Aqua,variation-999536043-of-designers-guild-fabric-boynton-outdoor,999535086,999536043,FDG2869-04,FDG2869-01-P,,,Free Shipping,,,,1416755744,,,0,Aqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Pompano Outdoor,designers-guild-fabric-pompano-outdoor-2,,999535091,FDG2870-01-P,,Fabric > Upholstery,,,,,yes,,2022-03-18T06:34:57+00:00,,0,,,,,,,,,,,,Delivery 3 weeks after ordering. Order now,16|1|0,,,,,,,,,,,,,,,,,Designers Guild Fabric,1|1|0,,,,,Palme Botanique,2|1|0,,Graphite|Indigo|Natural|Noir,4|1|1,Indigo,100% Polyproylene,7|1|0,,,,,Free,17|1|0,,,,,Pompano Outdoor,3|1|0,,Modern Contemporary,5|1|0,,,,,"Blinds, Drapery, Outdoor &amp; Accessories (Cushions &amp; Loose Covers), Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Straight Match,13|1|0,,,,,,,,United Kingdom,14|1|0,,Texture,6|1|0,,,,,,,,40000 Martindale,12|1|0,,,,,,,,,,,Metre,15|1|0,,,,,,,,,,,,,,,,,1Cm,8|1|0,,,,,140Cm,10|1|0,,,,,,,
Designers Guild Fabric Pompano Outdoor - Indigo,variation-999536048-of-designers-guild-fabric-pompano-outdoor,999535091,999536049,FDG2870-01,FDG2870-01-P,,,Free Shipping,,,,1416855711,,,0,Indigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Pompano Outdoor - Graphite,variation-999536053-of-designers-guild-fabric-pompano-outdoor,999535091,999536053,FDG2870-02,FDG2870-01-P,,,Free Shipping,,,,1416858706,,,0,Graphite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Pompano Outdoor - Noir,variation-999536058-of-designers-guild-fabric-pompano-outdoor,999535091,999536058,FDG2870-03,FDG2870-01-P,,,Free Shipping,,,,1416850098,,,0,Noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Pompano Outdoor - Natural,variation-999536063-of-designers-guild-fabric-pompano-outdoor,999535091,999536063,FDG2870-04,FDG2870-01-P,,,Free Shipping,,,,1416847733,,,0,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Navarre Outdoor,designers-guild-fabric-navarre-outdoor,,999535096,FDG2871-01-P,,Fabric > Upholstery,,,,,yes,,2022-03-18T06:34:57+00:00,,0,,,,,,,,,,,,Delivery 3 weeks after ordering. Order now,16|1|0,,,,,,,,,,,,,,,,,Designers Guild Fabric,1|1|0,,,,,Palme Botanique,2|1|0,,Aqua|Ecru|Graphite|Noir,4|1|1,Aqua,100% Polypropylene,7|1|0,,,,,Free,17|1|0,,,,,Navarre Outdoor,3|1|0,,Modern Contemporary,5|1|0,,,,,"Blinds, Drapery, Outdoor &amp; Accessories (Cushions &amp; Loose Covers), Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Random Match,13|1|0,,,,,,,,United Kingdom,14|1|0,,Plain,6|1|0,,,,,,,,30000 Martindale,12|1|0,,,,,,,,,,,Metre,15|1|0,,,,,,,,,,,,,,,,,,,,,,,155Cm,10|1|0,,,,,,,
Designers Guild Fabric Navarre Outdoor - Aqua,variation-999536068-of-designers-guild-fabric-navarre-outdoor,999535096,999536069,FDG2871-01,FDG2871-01-P,,,Free Shipping,,,,1416847111,,,0,Aqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Navarre Outdoor - Ecru,variation-999536073-of-designers-guild-fabric-navarre-outdoor,999535096,999536073,FDG2871-02,FDG2871-01-P,,,Free Shipping,,,,1416849505,,,0,Ecru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Navarre Outdoor - Graphite,variation-999536078-of-designers-guild-fabric-navarre-outdoor,999535096,999536078,FDG2871-03,FDG2871-01-P,,,Free Shipping,,,,1416852741,,,0,Graphite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Navarre Outdoor - Noir,variation-999536083-of-designers-guild-fabric-navarre-outdoor,999535096,999536083,FDG2871-04,FDG2871-01-P,,,Free Shipping,,,,1416858016,,,0,Noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tulsi Outdoor,designers-guild-fabric-tulsi-outdoor,,999535101,FDG2874-01-P,,Fabric > Outdoor,,,,,yes,,2022-03-18T06:34:58+00:00,,0,,,,,,,,,,,,Delivery 3 weeks after ordering. Order now,16|1|0,,,,,,,,,,,,,,,,,Designers Guild Fabric,1|1|0,,,,,Palme Botanique,2|1|0,,Eau De Nil|Sage,4|1|1,Sage,100% Acrylic,7|1|0,,,,,Free,17|1|0,,,,,Tulsi Outdoor,3|1|0,,Modern Contemporary,5|1|0,,,,,"Blinds, Drapery, Outdoor &amp; Accessories (Cushions &amp; Loose Covers), Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,75Cm,9|1|0,,,,,,,,,,,,,,Straight Match,13|1|0,,,,,,,,United Kingdom,14|1|0,,Animals / Nature / Insects,6|1|0,,,,,,,,30000 Martindale,12|1|0,,,,,,,,,,,Metre,15|1|0,,,,,,,,,,,,,,,,,54Cm,8|1|0,,,,,150Cm,10|1|0,,,,,,,
Designers Guild Fabric Tulsi Outdoor - Sage,variation-999536088-of-designers-guild-fabric-tulsi-outdoor,999535101,999536089,FDG2874-01,FDG2874-01-P,,,Free Shipping,,,,1416851593,,,0,Sage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tulsi Outdoor - Eau De Nil,variation-999536093-of-designers-guild-fabric-tulsi-outdoor,999535101,999536093,FDG2874-02,FDG2874-01-P,,,Free Shipping,,,,1416851594,,,0,Eau De Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona,designers-guild-fabric-tarazona,,999535106,FDG2919-05-P,,"Fabric, Plain & Textured Fabrics",,,,,yes,,2022-03-18T06:34:58+00:00,,0,,,,,,,,,,,,Delivery 3 weeks after ordering. Order now,16|1|0,,,,,,,,,,,,,,,,,Designers Guild Fabric,1|1|0,,,,,Tarazona,2|1|0,,Acacia|Alabaster|Apple|Aqua|Celadon|Chalk|Charcoal|Cocoa|Coral|Denim|Driftwood|Duckegg|Dusk|Emerald|Espresso|Fir|Forest|Fuchsia|Granite|Graphite|Hemp|Jade|Kingfisher|Linen|Moleskin|Natural|Noir|Ochre|Orchid|Paprika|Peony|Pistachio|Plum|Quartz|Raspberry|Rose|Russet|Saffron|Scarlet|Silver|Smoke|Steel|Terracotta|Turquoise|Viridian,4|1|1,Denim,54% Polyester 39% Acrylic 7% Viscose,7|1|0,,,,,Free,17|1|0,,,,,Tarazona,3|1|0,,Modern Contemporary,5|1|0,,,,,"Blinds &amp; Accessories (Cushions &amp; Loose Covers), Drapery, Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain,13|1|0,,,,,,,,United Kingdom,14|1|0,,Plain,6|1|0,,,,,,,,70000 Martindale,12|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140Cm,10|1|0,,,,,,,
Designers Guild Fabric Tarazona - Denim,variation-999536098-of-designers-guild-fabric-tarazona,999535106,999536099,FDG2919-05,FDG2919-05-P,,,Free Shipping,,,,1416852075,,,0,Denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Kingfisher,variation-999536103-of-designers-guild-fabric-tarazona,999535106,999536103,FDG2919-06,FDG2919-05-P,,,Free Shipping,,,,1416755740,,,0,Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Dusk,variation-999536108-of-designers-guild-fabric-tarazona,999535106,999536108,FDG2919-07,FDG2919-05-P,,,Free Shipping,,,,1416856621,,,0,Dusk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Aqua,variation-999536113-of-designers-guild-fabric-tarazona,999535106,999536113,FDG2919-08,FDG2919-05-P,,,Free Shipping,,,,1416850979,,,0,Aqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Celadon,variation-999536118-of-designers-guild-fabric-tarazona,999535106,999536118,FDG2919-09,FDG2919-05-P,,,Free Shipping,,,,1416847106,,,0,Celadon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Turquoise,variation-999536123-of-designers-guild-fabric-tarazona,999535106,999536123,FDG2919-10,FDG2919-05-P,,,Free Shipping,,,,1416860281,,,0,Turquoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Jade,variation-999536128-of-designers-guild-fabric-tarazona,999535106,999536128,FDG2919-14,FDG2919-05-P,,,Free Shipping,,,,1416755739,,,0,Jade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Duck Egg,variation-999536133-of-designers-guild-fabric-tarazona,999535106,999536133,FDG2919-12,FDG2919-05-P,,,Free Shipping,,,,1416850980,,,0,Duck Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Viridian,variation-999536138-of-designers-guild-fabric-tarazona,999535106,999536138,FDG2919-13,FDG2919-05-P,,,Free Shipping,,,,1416853399,,,0,Viridian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Emerald,variation-999536143-of-designers-guild-fabric-tarazona,999535106,999536143,FDG2919-15,FDG2919-05-P,,,Free Shipping,,,,1416754535,,,0,Emerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Fir,variation-999536148-of-designers-guild-fabric-tarazona,999535106,999536148,FDG2919-16,FDG2919-05-P,,,Free Shipping,,,,1416853400,,,0,Fir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Apple,variation-999536153-of-designers-guild-fabric-tarazona,999535106,999536153,FDG2919-17,FDG2919-05-P,,,Free Shipping,,,,1416748408,,,0,Apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Pistachio,variation-999536158-of-designers-guild-fabric-tarazona,999535106,999536158,FDG2919-18,FDG2919-05-P,,,Free Shipping,,,,1416754534,,,0,Pistachio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Forest,variation-999536163-of-designers-guild-fabric-tarazona,999535106,999536163,FDG2919-19,FDG2919-05-P,,,Free Shipping,,,,1416850097,,,0,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Acacia,variation-999536168-of-designers-guild-fabric-tarazona,999535106,999536168,FDG2919-20,FDG2919-05-P,,,Free Shipping,,,,1416856622,,,0,Acacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designers Guild Fabric Tarazona - Ochre,variation-999536173-of-designers-guild-fabric-tarazona,999535106,999536173,FDG2919-21,FDG2919-05-P,,,Free Shipping,,,,1416847728,,,0,Ochre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
